iter	Passed	Remaining
872	41713	6068
873	41765	6021
874	41813	5973
875	41861	5925
876	41910	5878
877	41956	5829
878	42006	5782
879	42053	5734
880	42100	5686
881	42150	5639
882	42197	5591
883	42244	5543
884	42292	5495
885	42338	5447
886	42383	5399
887	42427	5351
888	42476	5303
889	42521	5255
890	42570	5207
891	42619	5160
892	42670	5112
893	42718	5065
894	42766	5017
895	42817	4969
896	42866	4922
897	42911	4874
898	42960	4826
899	43006	4778
900	43052	4730
901	43102	4682
902	43149	4635
903	43198	4587
904	43244	4539
905	43295	4492
906	43342	4444
907	43388	4396
908	43439	4348
909	43489	4301
910	43533	4253
911	43582	4205
912	43628	4157
913	43678	4109
914	43722	4061
915	43770	4013
916	43814	3965
917	43863	3918
918	43911	3870
919	43961	3822
920	44008	3774
921	44055	3727
922	44104	3679
923	44150	3631
924	44196	3583
925	44245	3535
926	44292	3487
927	44340	3440
928	44390	3392
929	44436	3344
930	44490	3297
931	44537	3249
932	44586	3201
933	44632	3153
934	44678	3105
935	44725	3058
936	44775	3010
937	44825	2962
938	44876	2915
939	44924	2867
940	44972	2819
941	45020	2771
942	45068	2724
943	45114	2676
944	45160	2628
945	45204	2580
946	45252	2532
947	45300	2484
948	45347	2437
949	45396	2389
950	45443	2341
951	45490	2293
952	45535	2245
953	45583	2197
954	45629	2150
955	45675	2102
956	45718	2054
957	45766	2006
958	45815	1958
959	45859	1910
960	45907	1863
961	45956	1815
962	46004	1767
963	46050	1719
964	46099	1671
965	46152	1624
966	46200	1576
967	46247	1528
968	46292	1480
969	46342	1433
970	46393	1385
971	46440	1337
972	46490	1290
973	46544	1242
974	46594	1194
975	46643	1146
976	46689	1099
977	46738	1051
978	46788	1003
979	46833	955
980	46883	908
981	46927	860
982	46977	812
983	47022	764
984	47071	716
985	47120	669
986	47164	621
987	47205	573
988	47248	525
989	47296	477
990	47343	429
991	47390	382
992	47437	334
993	47483	286
994	47525	238
995	47576	191
996	47624	143
997	47669	95
998	47719	47
999	47764	0
